,HMM - No Tax,HMM - Long-Term Capital Gain Sensitivity,HMM - Gold Collectibles Sensitivity,HMM - High Short-Term Sensitivity,MSVAR - No Tax,MSVAR - Long-Term Capital Gain Sensitivity,MSVAR - Gold Collectibles Sensitivity,MSVAR - High Short-Term Sensitivity,60_40 - No Tax,60_40 - Long-Term Capital Gain Sensitivity,60_40 - Gold Collectibles Sensitivity,60_40 - High Short-Term Sensitivity,Equal_Weight - No Tax,Equal_Weight - Long-Term Capital Gain Sensitivity,Equal_Weight - Gold Collectibles Sensitivity,Equal_Weight - High Short-Term Sensitivity,Buy_Hold_Equity - No Tax,Buy_Hold_Equity - Long-Term Capital Gain Sensitivity,Buy_Hold_Equity - Gold Collectibles Sensitivity,Buy_Hold_Equity - High Short-Term Sensitivity
Annualized Return,0.10493252544258258,0.10340430562056824,0.10299784707023996,0.10136885675156071,0.12078544462613605,0.11949977733715578,0.11908236570947639,0.11778725066986206,0.10101119444922202,0.09998747027674626,0.09998747027674626,0.09862358853044029,0.12180697553922726,0.12051679806889881,0.1201388285775562,0.11879828480127808,0.1546809999352441,0.1546809999352441,0.1546809999352441,0.1546809999352441
Annualized Volatility,0.10129637967155589,0.10112369814418097,0.1010980997338929,0.10090131396531961,0.0952784044781347,0.09521582022822171,0.09519876235533714,0.09513635166389497,0.1265021549636695,0.12646515206680772,0.12646515206680772,0.12641788302150267,0.09662874076263746,0.0965690322552226,0.09654751026240951,0.09649321095041088,0.1698147777063276,0.1698147777063276,0.1698147777063276,0.1698147777063276
Sharpe Ratio,1.0390299136707735,1.0268435029064882,1.0234049294548908,1.0104513690427528,1.2493558742241744,1.2379509532134407,1.2342028792657391,1.2226699346031455,0.8263287710022131,0.8191261865693795,0.8191261865693795,0.809502938260575,1.2427326296122811,1.2314164694716996,1.2281433894106344,1.2162586964617663,0.9363821692534741,0.9363821692534741,0.9363821692534741,0.9363821692534741
Sortino Ratio,1.6736454704094803,1.651627841517242,1.6451685055069891,1.6221847071445392,2.0139548747841447,1.9843583914027096,1.9779536916050757,1.9600672245540427,1.3917696652171434,1.3784899910694524,1.3784899910694524,1.3311106871428569,2.0428228799779995,2.0053059444204218,1.99897865052037,1.980511748073308,1.4283391538041565,1.4283391538041565,1.4283391538041565,1.4283391538041565
Max Drawdown,-0.21993437827350648,-0.2204758578246192,-0.22060029121944735,-0.22119740711421132,-0.1956597201392587,-0.19619809317730175,-0.19632508183797726,-0.1969155422959692,-0.25739193889499656,-0.2577271672821614,-0.2577271672821614,-0.25817398844448847,-0.19633571365419844,-0.19688433262166072,-0.19702609494236256,-0.197615422462324,-0.23959573390949918,-0.23959573390949918,-0.23959573390949918,-0.23959573390949918
VaR 95% (monthly),0.033394876228861975,0.03341523361484352,0.03341523361484352,0.03344237679615225,0.030764094590798433,0.030789069915018327,0.030789069915018327,0.030822370347311518,0.04847877295792588,0.048584528994207635,0.048584528994207635,0.04897470500473699,0.030855478533734926,0.03089520546929551,0.03089520546929551,0.030948174716709628,0.08266235471989339,0.08266235471989339,0.08266235471989339,0.08266235471989339
CVaR 95% (monthly),0.052056258459161286,0.05209787686214527,0.052118584252181674,0.05215336806612392,0.047454303791093375,0.047494350692366835,0.047517237364756354,0.047547746560731435,0.06751853412253021,0.06755236349135198,0.06755236349135198,0.06768052530383223,0.04844844593011241,0.048488186060782465,0.048510234064738825,0.048541172901675866,0.09534763425420825,0.09534763425420825,0.09534763425420825,0.09534763425420825
Information Ratio vs 60/40,0.012543109600535007,0.00431585980590712,-0.002208824776555328,-0.006613287615797385,0.22619668587975933,0.22266209688551003,0.21678474934303427,0.2179352841445473,,,,,0.260099006312228,0.2562391732471964,0.2504534252904172,0.2510750981521222,0.6837550665874899,0.6957063511823994,0.6957063511823994,0.7116191033172834
