Model,Objective,Regime,N Obs,Shrinkage,Target Mean Monthly,Equity,Bonds,Gold
HMM,MVO-BS,0,323,0.5529788909635986,0.006980324745938502,0.343685375483985,0.4571505585777167,0.19916406593829836
HMM,MVO-BS,1,22,0.6950853018302267,0.005933098207188228,0.10504586479686288,0.5214941827035751,0.37345995249956204
MSVAR,MVO-BS,0,334,0.6128821956617063,0.006681897156269142,0.32411360179745075,0.439235815910409,0.23665058229214025
MSVAR,MVO-BS,1,10,0.6555100248893658,0.011609414026944601,0.19574174758662335,0.4606855304317536,0.3435727219816231
