Date,HMM,MSVAR,60_40,Equal_Weight,Buy_Hold_Equity
2018-12-31,0.002619031810451089,-0.0028407856708909662,-0.03225958451847388,-0.004438437344164825,-0.09048858523035763
2019-01-31,0.03790035440387207,0.036463164932786896,0.016041939704197095,0.03535048633224469,-0.01770896340462691
2019-02-28,0.047518240482465224,0.050570005678882035,0.030204989929056625,0.04942387674562543,0.01372948166070187
2019-03-31,0.07562147767703897,0.07048226533533342,0.06468960021950676,0.07023315506149075,0.0333448625630377
2019-04-30,0.07681618703041937,0.0733907881801763,0.08249033763580438,0.07396367486398403,0.0751040210602072
2019-05-31,0.08755164037042751,0.07437446147377269,0.06993285824835715,0.07427684695667147,0.006677521231148509
2019-06-30,0.13140655021892744,0.12412803931213023,0.11932469250108069,0.12396435812594997,0.07747069783575622
2019-07-31,0.14849112255609298,0.1457967988262543,0.12985142420494133,0.14497184729524504,0.09283415652477278
2019-08-31,0.2151404492949467,0.20478334360684003,0.16730258064231318,0.20280551955953685,0.07544603638065639
2019-09-30,0.21021621653270017,0.2050679207585,0.1680571308849339,0.20307413026894583,0.09546808062293821
2019-10-31,0.20888518793729438,0.20427774985528369,0.17798760316410167,0.2028959900289471,0.11907546008450831
2019-11-30,0.21510093845314904,0.20948298482339145,0.20169708851097456,0.20916452269935548,0.15959066019209978
2019-12-31,0.21254119416724615,0.21191928372534163,0.21022916546806325,0.2119019704569689,0.1944690323669529
2020-01-31,0.2691867737164839,0.2653333077125348,0.24515226842679838,0.26431192734752296,0.19386835838971161
2020-02-29,0.2821350108289067,0.2699966257937927,0.21635096169361812,0.26714572046532026,0.09547766797083423
2020-03-31,0.27038091700815925,0.2579147926563181,0.15768683527490723,0.24104607317253057,-0.04037551777504289
2020-04-30,0.35460494448585655,0.3350349750563044,0.2549850829522411,0.32512093888437654,0.08258907661522685
2020-05-31,0.376893427344168,0.351609750712675,0.2823439695708536,0.3474737911564927,0.13407619744477195
2020-06-30,0.3917243224206557,0.3651943233390744,0.2994979674090936,0.36222946836340086,0.15636957761407522
2020-07-31,0.46721644238663473,0.4366239525777509,0.3650517486703342,0.4358404896834789,0.2214386414728029
2020-08-31,0.5138881287298249,0.4666640554770556,0.3999469994169651,0.481232499012203,0.31184786476779447
2020-09-30,0.48602118693593854,0.44450546388876044,0.3706243193797796,0.4536367700517383,0.2592973472673894
2020-10-31,0.4517880138270849,0.4089399409437493,0.3311050215572391,0.4196556878129514,0.22565707454728923
2020-11-30,0.4991387681211763,0.4554407189868914,0.42660224444755634,0.46948581728173333,0.3596907281357702
2020-12-31,0.5615357589364007,0.5129708142143719,0.4990572337296604,0.5202835807655586,0.41186773854103853
2021-01-31,0.5349989455908222,0.4890291533456612,0.46936046341362103,0.5007655870071817,0.39744770151656517
2021-02-28,0.4972764373778773,0.45228610935804636,0.4606714278526469,0.4707076617069701,0.43598271481068807
2021-03-31,0.4811386160654392,0.4379107187142408,0.487113946724945,0.45779998761677554,0.4987200557664069
2021-04-30,0.5308071834890804,0.48503312499923545,0.5486809816567544,0.5074354123693023,0.5784923828853854
2021-05-31,0.5349479567878652,0.48905445216913046,0.5560882385242842,0.5117119943154671,0.589362970666377
2021-06-30,0.5885056999919913,0.5412896066052508,0.6020732267070843,0.563939458738278,0.6262582811549688
2021-07-31,0.6193786022238672,0.5689685380951943,0.6478750250436416,0.587231952281831,0.6646699905025331
2021-08-31,0.6274787589164685,0.5756108496980707,0.6762822068028376,0.5952279870772703,0.7150931820307795
2021-09-30,0.5817956857415489,0.5331482669345484,0.6100003538064787,0.5530680419045344,0.6350164566160856
2021-10-31,0.6265786359779761,0.5774079069620603,0.6904243485648582,0.5994875055736111,0.7493567655217663
2021-11-30,0.651399523568172,0.6029251389493329,0.7013351950865598,0.6229697604043376,0.7370631223661839
2021-12-31,0.6533214252060453,0.6024405268339696,0.7338468252246038,0.6267570787713346,0.8146131821373059
2022-01-31,0.6064021711592709,0.5607271672073217,0.6543162059795957,0.5877772319513275,0.7204728826192368
2022-02-28,0.5891428221809725,0.5496328667271091,0.6142451353791507,0.5751536985979355,0.6688235758211083
2022-03-31,0.5886259795080733,0.5679131295023703,0.6158425855406595,0.5926270726129486,0.7304378654968327
2022-04-30,0.4798577225819094,0.4744020355366345,0.47339163000996054,0.49499028553855484,0.5793660299624595
2022-05-31,0.4510723333450848,0.4423218117856855,0.46306396082196066,0.4637198428943434,0.5820551478898346
2022-06-30,0.40216236755285206,0.39345525052509567,0.3818511359669359,0.4123628948280471,0.45118025911805026
2022-07-31,0.43954030720622117,0.4199761521288854,0.4726720897721113,0.4430133114992627,0.5848277556384758
2022-08-31,0.39923485012201,0.38948298680082805,0.4106520832183522,0.41028517504004913,0.5199979760043327
2022-09-30,0.29364362489954576,0.2892972548583239,0.28756862913310877,0.3073665667687455,0.37983960500126646
2022-10-31,0.28969920546708594,0.29383571980624357,0.32138398937765933,0.31355775924286555,0.4913475183915623
2022-11-30,0.36341329906976627,0.3631383604267,0.40206983172731636,0.38450459771462797,0.5744991193288587
2022-12-31,0.3397875893073701,0.3479881325085876,0.3412299032876036,0.36655101237310284,0.48354687930161466
2023-01-31,0.426103074598831,0.4327860919275939,0.4291599878402892,0.4527357486294534,0.5765380286481936
2023-02-28,0.3766704605002369,0.38734150017522717,0.38079537647398043,0.40645091991963866,0.5379175281686597
2023-03-31,0.43144048486442577,0.44009195153321823,0.4368336098062493,0.46014945170682764,0.5941824771909334
2023-04-30,0.4581627614066013,0.4733218141741038,0.4535670644598564,0.49285743198096066,0.6189071821552821
2023-05-31,0.43950515005103963,0.4588016908656465,0.44063528685794706,0.4781883259351607,0.625718859678178
2023-06-30,0.45952507900297657,0.4767669978785194,0.4972548826550989,0.49863904496491385,0.7329355027814959
2023-07-31,0.4606196231712396,0.48283123321163357,0.5129956855308093,0.5052866125531685,0.7884313334502899
2023-08-31,0.42983900265584607,0.45390313977783503,0.48151662942456896,0.4757917704766954,0.7597762153211811
2023-09-30,0.3612323760769367,0.3958487444033667,0.3953944904353359,0.41526583155009344,0.6756889158607027
2023-10-31,0.32179535103057955,0.36293952716801225,0.35028925564647984,0.3811447432491155,0.6402410285892721
2023-11-30,0.4245733595218599,0.46120638287754967,0.4731428268718725,0.48224458091272915,0.7898240288898752
2023-12-31,0.5069934500529254,0.5349677421737264,0.5639199638020738,0.5580790339134272,0.8709946440680452
2024-01-31,0.5004431101882705,0.5331248561638262,0.5656158815186934,0.5563667160042951,0.9021593836666881
2024-02-29,0.5081482417237926,0.545223915110679,0.6020189062162051,0.5699486546995556,1.0035196219389149
2024-03-31,0.5306225969609504,0.5667645088196649,0.6401602175938688,0.5927106225950409,1.0677314171065584
2024-04-30,0.528737178656407,0.6011421051612551,0.5605450939457575,0.621085575520218,0.9830453078753738
2024-05-31,0.5742228875685176,0.6454434003394596,0.6249466905241856,0.6671935420701396,1.081120681074542
2024-06-30,0.5989407484093563,0.666795799083292,0.6707075170080787,0.6902791302459563,1.1555066497245803
2024-07-31,0.6416930139078616,0.7098687814470668,0.7062471983638718,0.7335400807855044,1.1814746472904591
2024-08-31,0.6814760702824323,0.753092370271446,0.7452453418738507,0.7771124033436014,1.2341378161286491
2024-09-30,0.7235917264753946,0.8009573557498368,0.7809538268165555,0.824921255532997,1.2815541756728375
2024-10-31,0.6990524640047953,0.7955611624675258,0.734211204577021,0.8169151692415393,1.2606601488236033
2024-11-30,0.7367480647026992,0.8301191130721977,0.8074981869797138,0.8542631317428162,1.393057961177234
2024-12-31,0.6809115352255364,0.7820921336813089,0.7424621860670693,0.804502953256746,1.3357794164301184
2025-01-31,0.7089949251220884,0.8162251064788788,0.7747745158081123,0.8389673129803761,1.400537690427866
2025-02-28,0.7713612269773362,0.8839501952912416,0.7981609107925711,0.9050526511225689,1.3689543033044065
2025-03-31,0.7463977216929585,0.8643839567409362,0.7300767653906988,0.8822851459558243,1.235147417125201
2025-04-30,0.7662933942152368,0.9029674019863978,0.715107235113722,0.9180091416904068,1.2197806294959426
2025-05-31,0.7869057271228734,0.9377771193660347,0.7600880666008913,0.9538371907393348,1.3592018399718513
2025-06-30,0.8450116834944725,1.0007982170195775,0.8317049674131731,1.0182715469147108,1.4789558046564557
2025-07-31,0.8482870633408865,1.0062047019926066,0.8496570237886376,1.024509305945756,1.534188515888533
2025-08-31,0.8660363479790589,1.0267073687341437,0.874736046747711,1.0455657825613938,1.5853095864490832
2025-09-30,0.9534238092964811,1.1347137542273034,0.9383245887323126,1.1522556150637113,1.6793654640426188
2025-10-31,1.0301418056651226,1.2399238569553694,0.9758694200841642,1.2545568772652573,1.7417721746535162
2025-11-30,1.039436013153145,1.2507336730494312,0.9823175460671345,1.2652340427088151,1.7481951651137724
2025-12-31,1.0275035277332143,1.2427674745226764,0.9770824777516465,1.2572870910371767,1.7697419305656314
