,Annualized Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Information Ratio vs 60/40,Return Rank,Sharpe Rank,Sortino Rank,Drawdown Rank
MSVAR,0.12078544462613583,0.9698036056536028,1.5633181381583334,-0.1956597201392588,0.22619668587975908,3.0,1.0,2.0,1.0
Equal_Weight,0.12180697553922726,0.9670869582785834,1.5897123148011172,-0.19633571365419844,0.260099006312228,2.0,2.0,1.0,2.0
Buy_Hold_Equity,0.1546809999352441,0.779533074743517,1.1890845948392952,-0.23959573390949918,0.6837550665874899,1.0,3.0,4.0,4.0
HMM,0.10493252544258258,0.7760857274717254,1.2501010272588415,-0.2199343782735066,0.012543109600535264,4.0,4.0,3.0,3.0
60_40,0.10101119444922202,0.6157766730929206,1.0371408139639435,-0.25739193889499656,,5.0,5.0,5.0,5.0
