,HMM,MSVAR,60_40,Equal_Weight,Buy_Hold_Equity
Annualized Return,0.08482792431429109,0.08944866274494223,0.07744721871122717,0.08926328025651675,0.0797305259683625
Annualized Volatility,0.07565844222365897,0.07567923970235044,0.09876282215681086,0.07592365352165695,0.15179855046276572
Information Ratio vs 60/40,0.08174304446873706,0.14126833289133528,,0.1480001734597543,0.1102386853388659
Max Drawdown,-0.21993437827350648,-0.1956597201392587,-0.29616498988320417,-0.19633571365419855,-0.5096651906592696
Sharpe Ratio,1.1174137139483271,1.1736267313403324,0.807107394852907,1.1678574052026232,0.5834099832782336
Sortino Ratio,1.6790491493847794,1.8578679784366952,1.074878830571788,1.8072827423142395,0.817589831566856
